word,meaning,phonetic,example,example_cn
eleventh,\(11th\) 第十一,,He finished in eleventh place in the race.,他在比赛中获得了第十一名。
else,其他；另外,/els/,Would you like anything else to drink?,你还想喝点别的什么吗？
email,电子邮件,/'iːmeɪl/,I will send you an email with the details.,我会把详细内容用电子邮件发给你。
empty the trash,倒垃圾,/'emptiði:træʃ/,Please empty the trash before you leave.,你离开前请把垃圾倒了。
end,1.最后部分, 末尾 2.端, 尽头, 梢 3.终止, 结局,/end/,,
end table,床头柜,/end'teibl/,I put the lamp on the end table next to my bed.,我把灯放在床边的床头柜上。
engineer,工程师,/,endʒi'niə/,,
England,英格兰;英国,/'iŋglənd/,England is famous for its history.,英格兰以其历史而闻名。
English,a.英国的；英国人的；英语的n.英语；英国人,/'iŋgliʃ/,He is learning English at school.,他正在学校学习英语。
English book,英语书,/ˈɪŋglɪʃ/,I put my English book in my bag.,我把英语书放进了书包。
English class,英语课,,We have English class every Monday morning.,我们每周一上午有英语课。
English songs,唱英文歌曲,,The students like to sing English songs.,学生们喜欢唱英文歌曲。
enjoy,从…获得乐趣；享受,/in'dʒɔi/,I enjoy reading books before I go to sleep.,我喜欢在睡觉前读书。
eraser,橡皮,/ɪ'reɪzə/,Can I borrow your eraser for a moment?,我能借一下你的橡皮吗？
even,甚至,/'i:vən/,She can speak French and even Japanese.,她会说法语，甚至还会说日语。
evening,晚上；傍晚,/ˈiːvnɪŋ/,I like to take a walk in the evening after dinner.,我喜欢晚饭后傍晚时分去散步。
every,每一个；每个,/'evri/,I go jogging every morning before breakfast.,我每天早上早饭前都会去慢跑。
everyone,每个人,/'evriwʌn/,Everyone enjoyed the party last night.,昨晚每个人都玩得很开心。
everywhere,处处；到处,/'evrihweə/,"I looked everywhere for my glasses, but I could not find them.",我到处找我的眼镜，但是没找到。
excited,兴奋的激动的,/ik'saitid/,The children are excited about the trip to the zoo.,孩子们对去动物园的旅行感到兴奋。
excuse me,对不起,/iks'kju:zmi:/,"Excuse me, can you tell me the way to the station?",对不起，请问去车站怎么走？
exercise,活动；运动,,You should exercise every day to stay healthy.,你应该每天锻炼以保持健康。
exhibition,展览,,There is a photography exhibition at the gallery.,画廊里有一个摄影展。
expensive,昂贵的,/ɪks'pensɪv/,This watch is too expensive for me to buy.,这块表太贵了，我买不起。
eye,眼睛,/aɪ/,She has beautiful blue eyes.,她有一双美丽的蓝眼睛。
face,脸,/feɪs/,She has a friendly face and a warm smile.,她有一张友善的面孔和温暖的微笑。
factory,工厂,/ˈfæktəri/,My father works in a car factory.,我父亲在一家汽车工厂工作。
fail,不及格；失败,/feil/,"If you fail the exam, you can try again next year.",如果你考试没通过，可以明年再试。
fall,落下;跌落;降落;掉下,/fɔ:l/,Be careful not to fall on the icy road.,小心别在结冰的路上摔倒。
fall—fell,摔倒,/fɔ:l/,"Leaves fall from the trees in autumn, and last year a big branch fell in the storm.",秋天树叶从树上落下，去年一根大树枝在暴风雨中掉落了。
family,家；家庭,/'fæmɪli/,I spent the weekend with my family.,我和家人一起度过了这个周末。
fan,扇子；电扇,/fæn/,He is a big fan of the local football team.,他是当地足球队的狂热粉丝。
far,较远的,/fɑː/,How far is it from here to the airport?,从这里到机场有多远？
farm,农场,农田,/fɑ:m/,,
farmer,农夫，农民,/'fɑ:mə/,The farmer gets up early to milk the cows.,农夫早起挤牛奶。
fast,快的,/fɑːst/,The car was driving very fast on the highway.,那辆车在高速公路上开得很快。
faster,更快的,,He runs faster than his brother.,他比他哥哥跑得更快。
fast—faster,更快的,/fɑːst/,"This train is fast, but that one is faster.",这趟火车很快，但那趟更快。
fat,胖的；肥的,/fæt/,The cat is fat because it eats too much.,那只猫很胖，因为它吃太多了。
father,父亲；爸爸,/'fɑːðə/,My father taught me how to ride a bike.,我父亲教我如何骑自行车。
favorite,特别喜爱的,,My favorite color is blue.,我最喜欢的颜色是蓝色。
favourite,a.特别喜爱的;最喜爱的,/'feivərit/,Chocolate is my favourite dessert.,巧克力是我最喜欢的甜点。
feature,特点,/ˈfiːtʃə/,The main feature of this phone is its long battery life.,这款手机的主要特点是其长续航电池。
February,二月,/'februəri/,February is the shortest month of the year.,二月是一年中最短的月份。
feed,喂养,/fi:d/,I need to feed the cat before I leave.,我离开前需要喂猫。
feel,感觉到；感受到,/'fi:l/,I feel happy when I listen to music.,我听音乐时感到快乐。
feel—felt,感觉,/'fi:l/,"I feel cold today, but yesterday I felt warm.",我今天觉得冷，但昨天我觉得暖和。
feet,脚（复数）,/fi:t/,My feet hurt after walking all day.,走了一整天后，我的脚很疼。
fell,(fall的过去式) 摔倒,,He fell off his bike but he was not hurt.,他从自行车上摔了下来，但没有受伤。
felt,(feel的过去式) 感觉,,She felt very tired after the long trip.,长途旅行后她感到很累。
ferry,轮渡,/ˈferi/,We took a ferry across the river.,我们坐轮渡过了河。
festival,节日,,We celebrate the Spring Festival with our family.,我们和家人一起庆祝春节。
few,不多；很少,,There are only a few apples left in the basket.,篮子里只剩下几个苹果了。
fifteen,十五,/'fɪf'tiːn/,There are fifteen students in the class.,班上有十五名学生。
fifth,第五；五分之一,/fifθ/,She finished fifth in the race.,她在比赛中获得了第五名。
fifth (5th),第五的,,Today is the fifth of June.,今天是六月五日。
fifty,五十,/'fifti/,My grandfather is over fifty years old.,我祖父五十多岁了。
fight,打架,/fait/,The two boys started to fight over a toy.,两个男孩为了一件玩具打了起来。
film,电影,/fɪlm/,We watched a great film last night.,我们昨晚看了一部很棒的影片。
find,寻找；找到,/faind/,Did you find your lost keys?,你找到你丢失的钥匙了吗？
fine,好的,/fain/,He had to pay a fine for parking in the wrong place.,他因乱停车不得不支付罚款。
finger,手指,/'fiŋɡə/,She cut her finger while cooking dinner.,她做晚饭时切到了手指。
finish,完成；做好,/'fɪnɪʃ/,I need to finish my homework before watching TV.,我看电视前需要完成作业。
first,第一,/fə:st/,She was the first person to arrive at the party.,她是第一个到达派对的人。
first (1st),第一的,,She won first place in the competition.,她在比赛中获得了第一名。
first floor,一楼,,The library is on the first floor of the building.,图书馆在这栋楼的一楼。
fish,鱼 .,/fiʃ/,We caught several fish at the lake yesterday.,我们昨天在湖里钓到了几条鱼。
fisherman,渔民,/ˈfɪʃəmən/,The fisherman caught a big fish this morning.,渔夫今天早上捕到了一条大鱼。
five,五,/faɪv/,I have five books in my bag.,我的书包里有五本书。
fixed,修理,,My father fixed my broken bicycle yesterday.,我爸爸昨天修好了我坏掉的自行车。
fix—fixed,修理,/fɪks/,"I need to fix the broken chair, and my brother fixed one last week.",我需要修理那把坏椅子，我哥哥上周修好了一把。
flat,公寓,/flæt/,They live in a flat on the third floor.,他们住在三楼的一套公寓里。
floor,地板,/flɔː/,The book fell on the floor.,书掉在了地板上。
flower,花；花朵,/'flaʊə/,She picked a beautiful flower from the garden.,她从花园里摘了一朵美丽的花。
flu,流感,/flu:/,He stayed home because he had the flu.,他因为得了流感而呆在家里。
fly,（过去式flew [flu:]）飞,/flai/,Birds can fly high in the sky.,鸟儿能在天空中飞得很高。
Fly kites,放风筝,/flai/,Children love to fly kites in the park.,孩子们喜欢在公园放风筝。
follow,跟着,/ˈfɒləʊ/,"Please follow me, and I will show you the way.",请跟我来，我会给你指路。
food,食物,/fuːd/,The food at this restaurant is very delicious.,这家餐厅的食物非常美味。
fool,蠢人；傻瓜,,Only a fool would go out in this rain without an umbrella.,只有傻瓜才会在这种雨天不带伞出门。
foot,脚,足,/fut/,,
football,足球,/'futbɔ:l/,The boys are playing football on the playground.,男孩们正在操场上踢足球。
football player,足球运动员,/ˈfʊtbɔːl/,He wants to be a football player when he grows up.,他长大后想当一名足球运动员。
for,为；给,/fɔ:/,This gift is for you.,这份礼物是给你的。
forest,森林；林区,/'fɒrɪst/,There are many wild animals in the forest.,森林里有很多野生动物。
fork,餐叉,/fɔːk/,We use a fork to eat noodles.,我们用叉子吃面条。
forty,四十,/'fɔːti/,My teacher is forty years old.,我的老师四十岁了。
forty-one,四十一,/ˌfɔːrti ˈwʌn/,There are forty-one pages in this book.,这本书有四十一页。
four,四,/fɔː/,A square has four sides.,正方形有四条边。
fourteen,十四,/'fɔː'tiːn/,She is fourteen years old and in middle school.,她十四岁，在上中学。
fourth,第四,/fɔ:θ/,July is the fourth month of summer.,七月是夏天的第四个月。
fourth (4th),第四的,,He lives on the fourth floor of the building.,他住在这栋楼的第四层。
fox,狐狸,/fɔks/,The fox is a clever animal.,狐狸是一种聪明的动物。
French,法国的；法国人；法语；法语的,/frentʃ/,She can speak French and English.,她会说法语和英语。
French fries,炸薯条,/fraiz/,I ordered a hamburger and French fries.,我点了一个汉堡和炸薯条。
fresh,新鲜的；刚摘的,/freʃ/,These vegetables are very fresh from the market.,这些蔬菜是从市场刚买的，非常新鲜。
Friday,星期五,/'fraɪdi/,We have a test this Friday.,我们这个星期五有考试。
fridge,冰箱,/frɪdʒ/,Please put the milk back in the fridge.,请把牛奶放回冰箱。
friend,朋友,/frend/,She is my best friend at school.,她是我在学校最好的朋友。
friendly,友好的,/'frendli/,The people in this town are very friendly.,这个镇上的人非常友好。
from,从;来自.,/frɔm/,I am from China.,我来自中国。
front,前面，正面,/frʌnt/,There is a big garden in front of the house.,房子前面有一个大花园。
fruit,水果,/fruːt/,Eating fresh fruit is good for your health.,吃新鲜水果对你的健康有好处。
fun,玩笑;有趣的事,/fʌn/,We had so much fun at the park today.,我们今天在公园玩得很开心。
funnier,更滑稽的,,His joke was funnier than mine.,他的笑话比我的更滑稽。
funny,滑稽的；好笑的,/'fʌni/,That movie was really funny.,那部电影真的很好笑。
fur,浓密的软毛,,The cat has soft white fur.,那只猫有柔软的白色软毛。
fɑ:ðə ] (,外)祖父,,My grandfather is coming to visit us.,我的（外）祖父要来看我们。
game,比赛；游戏,/geim/,The children are playing a game in the yard.,孩子们正在院子里玩游戏。
garden,花园；菜园,/'gɑːdn/,My mother grows flowers in the garden.,我妈妈在花园里种花。
gave,（give 的过去式）提供；交给,/ɡeɪv/,She gave me a beautiful birthday card.,她给了我一张漂亮的生日贺卡。
Germany,德国,/ˈdʒɜːməni/,He went to Germany last summer.,他去年夏天去了德国。
get,(过去式got [gɔt])到达,/get/,I need to get to the station before six.,我需要在六点前到达车站。
get off,下车,/getɔ:f/,Please get off the bus at the next stop.,请在下一站下车。
get to,到达,/gettu:/,How long does it take to get to the airport?,到达机场需要多长时间？
get together,聚会,,We should get together for dinner this weekend.,我们这个周末应该聚一聚吃顿饭。
get up,起床,/'getʌp/,I usually get up at seven in the morning.,我通常早上七点起床。
gift,礼物,/ɡift/,She received a lovely gift for her birthday.,她收到了一份可爱的生日礼物。
giraffe,长颈鹿,/dʒɪˈrɑːf/,The giraffe has a very long neck.,长颈鹿有非常长的脖子。
girl,女孩,/gɜːl/,The little girl is playing with her doll.,那个小女孩正在玩她的娃娃。
glasses,眼镜,/'glɑːsɪz/,My father wears glasses when he reads.,我爸爸看书的时候戴眼镜。
glove,手套,/ɡlʌv/,I lost one glove on the bus.,我在公交车上丢了一只手套。
gloves,手套,,Wear your gloves when you go outside in winter.,冬天出门时要戴上手套。
go,（过去式went [went]）去,/gəu/,I go to school by bus every day.,我每天坐公交车去上学。
go boating,去划船,/gəʊ/,Let's go boating on the lake this Sunday.,这个星期天我们去湖上划船吧。
go cycling,去骑自行车,,They like to go cycling in the countryside.,他们喜欢去乡下骑自行车。
go fishing,去钓鱼,/'fiʃiŋ/,My dad and I go fishing every Saturday morning.,我和爸爸每个星期六早上去钓鱼。
go for a walk,去散步,,Let's go for a walk after dinner.,晚饭后我们去散步吧。
go hiking,去远足,/'haikiŋ/,We plan to go hiking in the mountains this weekend.,我们计划这个周末去山里远足。
go home,回家,/həum/,"It's getting dark, let's go home.",天快黑了，我们回家吧。
go ice-skating,去滑冰,/ais 'skeitiŋ/,She loves to go ice-skating at the rink.,她喜欢去溜冰场滑冰。
go on a picnic,去野餐,,The family will go on a picnic in the park.,这家人要去公园野餐。
go shopping,购物 买东西,/'ʃɔpiŋ/,I need to go shopping for some new clothes.,我需要去买些新衣服。
go skiing,去滑雪,/'ski:iŋ/,They go skiing in the Alps every winter.,他们每年冬天去阿尔卑斯山滑雪。
go swimming,去游泳,/'swimiŋ/,We go swimming at the pool every Tuesday.,我们每周二去游泳池游泳。
go to bed,上床睡觉,,"It's time to go to bed, kids.",孩子们，该上床睡觉了。
go to school,上学,/sku:l/,She goes to school at eight o'clock.,她八点钟去上学。
go to the playground,去操场,/'pleiɡraund/,The children want to go to the playground after class.,孩子们想下课后去操场玩。
Go tothe cinema,去看电影,/gəutu:ðə'sinimə/,Let's go to the cinema tonight.,我们今晚去看电影吧。
goal,得分数.,/gəul/,He scored the winning goal in the final minute.,他在最后一分钟进了制胜的一球。
goat,山羊,/ɡəʊt/,The goat is eating grass on the hill.,那只山羊正在山上吃草。
goes,去,,She goes to work by train every day.,她每天坐火车去上班。
good,好的好的的,/ɡud/,This is a very good book.,这是一本非常好的书。
Good bay,再见,/'ɡud'bai/,"Good bye, see you tomorrow!",再见，明天见！
good job,干得好,/dʒɔb/,You did a good job on your test.,你考试考得很好。
goose,鹅,/ɡu:s/,The goose is swimming in the pond.,那只鹅正在池塘里游泳。
go—went,去,/gəu/,"I go to school every day, but yesterday I went by taxi.",我每天去上学，但昨天我坐出租车去的。
GPS,全球（卫星）定位系统,/dʒiː piː es/,We use GPS to find the way.,我们用全球定位系统来导航。
grandfather,（外）祖父,/'grændˌfɑːðə/,My grandfather tells me stories every evening.,我的（外）祖父每天晚上给我讲故事。
grandma,（口语）（外）祖母,/'grændmɑ:/,Grandma bakes the best cookies.,奶奶烤的饼干最好吃。
grandmother,\(外\) 祖母,/'grænˌmʌðə/,My grandmother lives in a small village.,我的（外）祖母住在一个小村庄里。
grandpa,（口语）（外）祖父,/'grændpɑ:/,Grandpa likes to take walks in the garden.,爷爷喜欢在花园里散步。
grandparent,祖父/祖母；外祖父/外祖母,/ˈgrænpeərənt/,Both of my grandparents came to my school play.,我的祖父母和外祖父母都来看我的学校演出。
grape,葡萄,/greɪp/,These green grapes are very sweet.,这些绿葡萄很甜。
grass,草坪,/ grAs/,Please keep off the grass.,请勿踩踏草坪。
great,很好的,/ɡreit/,We had a great time at the party.,我们在派对上玩得很开心。
green,绿色的,/ɡri:n/,The leaves turn green in spring.,叶子在春天变绿。
green beans,豆角；四季豆,,My mother cooked green beans for dinner.,我妈妈晚饭做了四季豆。
guess,猜测,/ɡes/,Can you guess how old I am?,你能猜出我多大吗？
gym,体育馆,/dʒɪm/,He goes to the gym three times a week.,他每周去体育馆三次。
had,a cold 感冒,,She had a cold and stayed home.,她感冒了，待在家里。
had a cold,感冒,,Tom had a cold last week.,汤姆上周感冒了。
hair,长头发,/hɛə/,She has long black hair.,她有一头长长的黑发。
half,一半,/hɑːf/,Please give me half of the apple.,请把苹果分我一半。
hall,大厅,,The meeting will be held in the main hall.,会议将在主大厅举行。
Halloween,万圣节前夕,/'hæləu'i:n/,Children wear costumes on Halloween.,孩子们在万圣节前夕穿 costumes。
hamburger,汉堡包,/'hæmbɜːgə/,I ordered a hamburger and fries for lunch.,我午餐点了一个汉堡包和薯条。
hand,手,/hænd/,He raised his hand to ask a question.,他举手问问题。
happy,快乐的；幸福的,/'hæpi/,I am very happy to see you.,我很高兴见到你。
hard-working,努力工作的；勤劳的,/ˌhɑːdˈwɜːkɪŋ/,She is a hard-working student.,她是一个勤奋的学生。
hardly,几乎没有；几乎不,/'hɑ:dli/,I can hardly hear you.,我几乎听不见你说话。
has,有,/hæz/,She has a new bicycle.,她有一辆新自行车。
hat,帽子,/hæt/,She is wearing a red hat.,她戴着一顶红帽子。
have,（过去式had[ hæd]）有,/hæv/,I have two brothers.,我有两个兄弟。
have ... class,上...课,,We have English class every Monday morning.,我们每周一早上上英语课。
have a cold,感冒;伤风,/kəuld/,You should rest if you have a cold.,如果你感冒了就应该休息。
have a headache,头疼.,/'hedeik/,I have a headache and need to lie down.,我头疼，需要躺下休息。
have a look,看一看,/luk/,Come and have a look at this photo.,过来看一看这张照片。
have a picnic,举行野餐,/hæv'piknik/,We plan to have a picnic by the river.,我们计划在河边举行野餐。
have a sore throat,喉咙疼,/sɔ: θrəut/,She has a sore throat and cannot talk much.,她喉咙疼，不能多说话。
have a toothache,牙疼,/'tu:θeik/,He has a toothache and needs to see a dentist.,他牙疼，需要看牙医。
have a try,试一试,/hævtrai/,Why don't you have a try?,你为什么不试一试呢？
have to,不得不,/hæv tu:/,I have to finish my homework before watching TV.,我不得不先做完作业再看电视。
have...class,上……课,/hæv klɑːs/,Do you have math class today?,你们今天有数学课吗？
have—had,得病,/hæv/,"I have a fever today, and yesterday I had a cold.",我今天发烧了，昨天我得了感冒。
he,他,/hiː/,He is my best friend.,他是我最好的朋友。
head,头,/hed/,She nodded her head in agreement.,她点头表示同意。
head teacher,校长,/hed ˈtiːtʃə/,Our head teacher gave a speech at the assembly.,我们的校长在集会上发表了讲话。
healthy,a.健康的;有益健康的,/'helθi/,Eating vegetables is healthy.,吃蔬菜是健康的。
hear,听见；听到,/hiə/,Can you hear me?,你能听见我吗？
heavier,更重的,,This box is heavier than that one.,这个箱子比那个更重。
heavy,重的；沉重的,/'hevi/,This bag is too heavy.,这个包太重了。
heavy—heavier,更重的,/'hevi/,"My backpack is heavy, but yours is even heavier.",我的背包很重，但你的更重。
hello,喂,/hə'ləu/,"Hello, how are you?",你好，你怎么样？
helmet,头盔,/ˈhelmɪt/,You should wear a helmet when riding a bike.,骑自行车时你应该戴头盔。
help,帮助,/help/,Can you help me with this problem?,你能帮我解决这个问题吗？
help yourself,为（自己）取用,/help/,Help yourself to some cookies.,请随便吃些饼干。
helpful,a. 有帮助的,有益的,/'helpful/,,
hen,母鸡,/hen/,The hen laid three eggs.,母鸡下了三个蛋。
her,她的,/hɜː/,I gave her a gift.,我给了她一份礼物。
here,这儿；这里,/hiə/,Please come here.,请到这里来。
here you are,给你,/hiə/,"Here you are, this is your book.",给你，这是你的书。
hers,她的,,This book is hers.,这本书是她的。
hi,喂,/hai/,"Hi, nice to meet you.",嗨，很高兴见到你。
high,高的,/haɪ/,The mountain is very high.,那座山非常高。
hiking,远足,/haɪkɪŋ/,We enjoy hiking in the forest.,我们喜欢在森林里远足。
hill,山丘；小山,/hɪl/,The children rolled down the hill.,孩子们从山上滚下来。
him,他（宾语或表语\),/hɪm/,I saw him at the store.,我在商店看到他了。
his,他的,/hɪz/,That is his car.,那是他的车。
His friend is a tall, slim girl with a straight nose,他的朋友是位鼻子挺直,身材高而苗条的姑娘,,,
His friend is a tall, slim girl with a straight nose.,他的朋友是位鼻子挺直,身材高而苗条的姑娘,,,
hobby,业余爱好,/ˈhɒbi/,My hobby is reading books.,我的爱好是读书。
holiday,假期,假日,/'hɔlədi/,,
homework,作业,/'həʊmwɜːk/,I have a lot of homework to do tonight.,我今晚有很多作业要做。
honey,蜂蜜,/'hʌni/,I like to put honey in my tea.,我喜欢在茶里放蜂蜜。
Hong Kong,香港,/hɔŋ/,Hong Kong is a beautiful city.,香港是一个美丽的城市。
horse,马,/hɔːs/,The horse runs very fast.,这匹马跑得非常快。
hospital,医院,/ˈhɒspɪtl/,My father is in the hospital.,我父亲在医院里。
hot,辣的；辛辣的,/hɒt/,The soup is very hot.,汤很烫。
hot dog,热狗,/hɔt dɔɡ/,I ate a hot dog at the baseball game.,我在棒球赛上吃了一个热狗。
hotel,旅馆,,We stayed at a nice hotel.,我们住在一家不错的旅馆。
house,房屋；房子；住宅,/haʊs/,They bought a new house.,他们买了一栋新房子。
how,多么；怎么样,/hau/,How did you get here?,你是怎么到这里来的？
how about,……怎么样？……情况如何？,,How about going for a coffee?,去喝杯咖啡怎么样？
how many,多少后接可数名词复数形式,/'meni/,How many apples do you want?,你想要多少个苹果？
how much,多少，后接不可数名词或多少钱,/mʌtʃ/,How much is this T-shirt?,这件T恤衫多少钱？
how old,几岁,/hau əuld/,How old are you?,你几岁了？
however,1、但是;2 无论如何,不管怎样,/hau'evə/,,
However hot it is, he will not take off his coat,无论多热,他也不会脱掉外衣,,,
However hot it is, he will not take off his coat.,无论多热,他也不会脱掉外衣,,,
hundred,百,/'hʌndrəd/,There are a hundred students in the hall.,大厅里有一百个学生。
hungry,饥饿的,/'hʌŋɡri/,I am very hungry.,我很饿。
hurry,抓紧；赶快,/'hʌri/,We need to hurry or we will miss the bus.,我们得赶紧了，不然会赶不上公交车。
hurry up,快点,,"Hurry up, or we will be late.",快点，否则我们要迟到了。
hurt,（使）受伤,/hɜːt/,Be careful with that knife or you might hurt yourself.,小心那把刀，否则你可能会伤到自己。
hurt—hurt,受伤,/hɜːt/,I hurt my knee when I fell down.,我摔倒时膝盖受伤了。
I would like to,想要. 例：我现在想看书 I want to read now.=I would like to read now,/ai wud laiktu:/,I would like to read a book now.,我现在想要看一本书。
ice,冰,/ais/,Please add some ice to my drink.,请给我的饮料加些冰。
ice cream,冰淇淋,/ˌaɪsˈkriːm/,The children love to eat ice cream in summer.,孩子们夏天喜欢吃冰淇淋。
ice-cream,冰激凌,/'aiskri:m/,"Can I have an ice-cream, please?",请给我一个冰激凌好吗？
ice-skate,滑冰,/ˈaɪs skeɪt/,She likes to ice-skate on the frozen pond.,她喜欢在结冰的池塘上滑冰。
idea,想法；主意,/aɪˈdɪə/,That is a great idea for the party.,那是一个派对的好主意。
if,如果,/ɪf/,"If it rains tomorrow, we will stay at home.",如果明天下雨，我们就待在家里。
ill,a.坏的,有病的,/il/,,
in,在…… 里面,/ɪn/,The keys are in my bag.,钥匙在我的包里。
in front of,在...前面,/ɪn/,There is a tree in front of the house.,房子前面有一棵树。
interesting,有趣的,/ˈɪntrəstɪŋ/,This book is very interesting.,这本书很有趣。
Internet,互联网,,We can find information on the Internet.,我们可以在互联网上找到信息。
into,进入；到……里面,/'intu:/,She walked into the room quietly.,她安静地走进了房间。
is,是,/iz/,She is a doctor.,她是一名医生。
island,岛,,They spent a week on a small island.,他们在一个小岛上待了一周。
it,它,/it/,It is raining outside.,外面正在下雨。
Italian,意大利的,/ɪˈtæljən/,Italian food is very popular around the world.,意大利菜在全世界都很受欢迎。
its,它的,,The cat is cleaning its fur.,猫正在清理它的毛发。
jacket,夹克衫,/'dʒækɪt/,She wore a warm jacket in winter.,她冬天穿了一件保暖的夹克衫。
January,一月,/'dʒænjuəri/,January is the first month of the year.,一月是一年中的第一个月。
jasmine,茉莉,/'dʒæzmɪn/,The jasmine flowers smell so sweet.,茉莉花闻起来很香。
jeans,牛仔裤,/dʒi:nz/,I like to wear blue jeans on weekends.,我喜欢周末穿蓝色牛仔裤。
jeep,吉普车,/dʒi:p/,They drove a jeep up the mountain road.,他们开着一辆吉普车开上了山路。
job,工作,/dʒɒb/,My sister found a good job in a hospital.,我姐姐在医院找到了一份好工作。
join,加入,/dʒɔɪn/,Would you like to join our team?,你想加入我们的团队吗？
juice,果汁,/dʒuːs/,I always drink orange juice for breakfast.,我早餐总喝橙汁。
July,七月,/dʒu:'lai/,July is usually very hot.,七月通常很热。
jump,跳,/dʒʌmp/,The frog can jump very far.,青蛙能跳得很远。
jumping,（正在）跳,,The children are jumping rope in the yard.,孩子们正在院子里跳绳子。
June,六月,/dʒu:n/,School ends in June.,学校在六月放假。
just,正好；恰好,/dʒʌst/,I just finished my homework.,我正好刚完成作业。
just a minute,再多一会,/'minit/,"Just a minute, I will be right back.",再多一会，我马上回来。
just do it,就这么干吧；说做就做,/dʒʌst dəu it/,"If you believe you can, just do it.",如果你相信你能行，就这么干吧。
kangaroo,袋鼠,/,A kangaroo can jump very high and far.,袋鼠能跳得又高又远。,
keep,your desk clean 保持你的桌面整洁,,Please keep your room clean and tidy.,请保持你的房间干净整洁。
keep to the right,靠右,,"In most countries, cars keep to the right.",在大多数国家，汽车靠右行驶。
keep your desk clean,保持你的课桌干净,,The teacher told us to keep your desk clean.,老师告诉我们要保持你的课桌干净。
key,钥匙,/kiː/,I lost my house key yesterday.,我昨天丢了房门钥匙。
kg(kilogram),千克；公斤,/'kiləuɡræm/,This bag of rice weighs ten kg.,这袋大米重十公斤。
kick,踢,/kik/,The boy can kick the ball very hard.,那个男孩能把球踢得很用力。
kid,小孩；孩子,/kid/,The kid is playing with his toy car.,那个小孩正在玩他的玩具车。
killer whale,虎鲸,/'kɪlə/,A killer whale is a very intelligent animal.,虎鲸是一种非常聪明的动物。
kilogram,千克；公斤,,A kilogram of apples costs five yuan.,一千克苹果要五块钱。
kind,体贴的；慈祥的；宽容的,/kaɪnd/,Grandma is very kind to everyone.,奶奶对每个人都很慈祥。
kitchen,厨房,/'kɪtʃɪn/,Mom is cooking dinner in the kitchen.,妈妈正在厨房做晚饭。
kite,风筝,/kaɪt/,The children are flying kites in the park.,孩子们正在公园里放风筝。
kitten,小猫,,The kitten is sleeping on the sofa.,小猫正在沙发上睡觉。
knife,刀,/naɪf/,Be careful when you use a knife.,用刀时要小心。
know,知道；了解,/nəʊ/,I know the answer to this question.,我知道这个问题的答案。
kung,fu 功夫；武术,,He has been learning kung fu since he was five.,他从五岁就开始学功夫了。
kung fu,功夫；武术,/ˌkʌŋ ˈfuː/,My brother practices kung fu every morning.,我哥哥每天早上练功夫。
Labour,Day 劳动节,,Labour Day is on May first.,劳动节在五月一日。
Labour Day,劳动节,,We celebrate Labour Day on May first.,我们在五月一日庆祝劳动节。
Lady,女士;小姐’夫人,/'leidi/,The lady in the red dress is my teacher.,那位穿红裙子的女士是我的老师。
lake,湖；湖泊,/leɪk/,We went boating on the lake yesterday.,我们昨天去湖上划船了。
lamb,小羊；羔羊,/læm/,The little lamb was following its mother.,小羊羔正跟着它的妈妈。
lamp,台灯,/læmp/,I turned on the lamp to read a book.,我打开台灯看书。
last,仅余的;留在最后的,/lɑ:st/,He was the last person to leave the office.,他是最后一个离开办公室的人。
late,晚；迟,,She was late for the meeting because of heavy traffic.,因为交通拥堵，她开会迟到了。
laugh at,因…而发笑. . .,/lɑ:f æt/,It is not nice to laugh at other people.,嘲笑别人是不好的。
laughed,(laugh的过去式) 笑,,Everyone laughed at the funny story.,听了那个有趣的故事，大家都笑了。
laugh—laughed,笑,/lɑːf/,The baby laughed when I made a funny face.,我做鬼脸时宝宝笑了。
leaf,（复数leaves）叶子,/li:f li:vz/,A leaf fell from the tree and landed on the ground.,一片叶子从树上落下，掉在了地上。
leaf (leaves),叶子,,The leaves turn yellow in autumn.,叶子在秋天变黄了。
learn,（过去式learned ['lə:nid]）学习,/lə:n/,It is never too late to learn something new.,学习新东西永远不嫌晚。
leave,(过去式left[left]),/li:v/,Please leave the room quietly when you finish.,完成后请安静地离开房间。
left,左边的,/left/,Turn left at the next traffic light.,在下一个红绿灯处左转。
leg,腿,/leg/,He broke his leg while playing football.,他踢足球时摔断了腿。
lesson,课,/ˈlesn/,The first lesson in the book is very easy.,书中的第一课非常简单。
letter,信,,I received a letter from my grandmother yesterday.,我昨天收到了祖母的一封信。
library,图书馆,/'laɪbrəri/,She goes to the library every weekend to study.,她每个周末都去图书馆学习。
licked,(lick的过去式) 舔,,The dog licked my face happily.,狗开心地舔了我的脸。
lick—licked,舔,/lɪk/,The cat licked all the milk from the bowl.,猫舔光了碗里的牛奶。
light,灯；管灯,/'lait/,This box is very light; I can carry it easily.,这个盒子很轻，我可以轻松拿起。
like,喜欢,/laik/,I like to read books before going to bed.,我喜欢睡前看书。
lion,狮子,/'laiən/,The lion is known as the king of the jungle.,狮子被认为是丛林之王。
listen to music,听音乐,/'lisəntu:'mju:zik 'leitə/,I enjoy listening to music while running.,我喜欢边跑步边听音乐。
listening,to music 正在听音乐,,She is listening to music in her room.,她正在房间里听音乐。
listening to music,（正在）听音乐,,He is listening to music on his phone.,他正在手机上听音乐。
